,ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
4344183,IDj488Q3R,2017-01-14 12:08:06,98480,600136,15912,76234896,e,Mozilla,Desktop,0
5959028,IDyolw4Vw,2017-01-16 14:23:25,1287212,675784,33287,57977218,a,Google Chrome,Mobile,0
6254594,IDfhnyceT,2017-01-12 16:18:08,1049799,557596,6906,99510044,e,Edge,Tablet,0
7189006,IDgRpvwix,2017-01-14 13:37:42,6401643,764607,54916,53807073,a,Edge,Tablet,0
586709,IDgDxfNOM,2017-01-18 13:57:58,7642855,454332,1678,93157824,b,Chrome,Desktop,0
4772231,IDZLgcIgN,2017-01-15 13:37:32,6772617,285959,40339,7122654,a,Edge,Tablet,0
6413435,IDxOKhKR9,2017-01-12 12:59:15,4007163,957342,904,26391770,b,Google Chrome,Mobile,0
1598922,ID628iDVm,2017-01-12 16:01:15,1043601,752661,17714,74363610,b,Edge,,0
8636599,IDxg1Jnnv,2017-01-19 10:03:23,8823982,94489,63392,24374189,b,Firefox,Mobile,0
10721244,IDmMqkTuX,2017-01-13 17:21:00,2887674,496632,6906,99510044,f,InternetExplorer,Desktop,1
2031603,IDSY3xVNa,2017-01-18 14:57:42,,386727,42227,96823930,b,Edge,Tablet,0
11982914,IDjr7KgbN,2017-01-10 14:58:37,2972808,53228,91234,99684291,b,Firefox,Mobile,0
1571378,IDcrGbkeb,2017-01-16 10:03:50,1120067,844311,26966,74363610,a,Firefox,Mobile,0
7534145,IDgxC8mEh,2017-01-20 17:16:54,7412279,898763,84974,27723861,d,Firefox,Mobile,0
812352,IDoHTOqb8,2017-01-12 09:08:17,1763138,414389,95113,92640312,b,Google Chrome,,0
12060569,IDoB3Jh0v,2017-01-15 15:44:16,993769,5056,42227,49384126,a,Firefox,,0
2003393,IDHhYPRDG,2017-01-18 16:31:39,5467328,51953,26962,77896159,a,Edge,Tablet,0
2165946,IDOHaWUlo,2017-01-11 11:11:28,1466152,836550,73248,83960204,a,Firefox,Mobile,0
3963513,IDK02mkNK,2017-01-14 15:52:47,9437029,485716,42227,7864011,d,Firefox,Mobile,0
2514390,ID0llRtnE,2017-01-11 13:34:48,8292427,726115,12211,58163546,a,Mozilla Firefox,Desktop,0
10754703,IDyyaMcgR,2017-01-19 09:45:11,2648492,926606,41210,26391770,a,Firefox,Mobile,0
3949930,IDYu3bOMF,2017-01-16 17:54:34,9850797,509012,82396,17990842,b,Mozilla Firefox,Desktop,0
2554052,IDDkrQCXN,2017-01-14 14:09:55,4786066,378889,34670,87807327,b,Edge,Tablet,0
1638020,IDA9hT5GM,2017-01-13 10:05:47,8193493,5937,11987,74363610,a,Mozilla,Desktop,0
9195634,ID9mquoTa,2017-01-12 16:24:31,,809566,5602,58604466,a,Edge,Tablet,0
9607988,IDfWyQZWd,2017-01-17 11:58:16,9723764,863175,53835,26391770,a,Firefox,Mobile,0
3296018,IDG9hpkGT,2017-01-12 10:53:54,7119464,77449,50088,7864011,f,Edge,Tablet,0
1675592,IDRrQjors,2017-01-14 16:56:53,,388157,1678,52437512,b,Edge,,0
1949760,IDc37yZV0,2017-01-13 14:14:08,9510521,273588,17714,2050923,b,Edge,Tablet,0
1689171,IDlydhNQX,2017-01-18 13:24:52,4183443,663246,97863,87807327,f,Firefox,,0
5430753,IDpUij9zt,2017-01-14 13:08:28,6575104,827802,93286,14065822,b,Firefox,Mobile,0
7773063,IDOUh2RHF,2017-01-18 10:30:53,6280934,630264,33287,46997962,b,Firefox,Mobile,0
8369248,IDLmP2xur,2017-01-17 08:19:57,7023255,32250,6906,99510044,b,,Mobile,0
9519301,IDOUm2FzJ,2017-01-11 18:04:27,1645208,435929,17118,15961717,a,Mozilla,Desktop,0
389456,IDCCwvG5F,2017-01-17 12:05:16,9513546,169086,42227,7181598,f,Firefox,Mobile,0
10644561,IDJXAy4Iw,2017-01-16 16:06:15,8310990,277877,97863,56008048,a,Google Chrome,Mobile,0
7787841,IDqM4wnNj,2017-01-14 14:45:19,,800154,36610,20301556,a,Edge,Tablet,0
96189,IDt52hHG2,2017-01-12 18:59:58,6022649,87053,80554,7122654,b,,Tablet,0
11863417,IDDomHzJ1,2017-01-14 13:01:09,5258936,823393,41640,26391770,b,,Desktop,0
8499086,IDLpkOKdg,2017-01-14 15:37:25,5686455,762228,73362,86409024,b,Firefox,Mobile,0
10080538,IDCTxCf5e,2017-01-11 19:42:22,,526586,12211,15961717,b,Edge,,0
1262821,IDV7z1v83,2017-01-20 14:11:53,328345,155401,11837,89663643,b,Edge,Tablet,0
5035917,IDzl72Lni,2017-01-16 07:18:23,1455668,806614,43612,55315296,b,Firefox,Mobile,0
4980657,IDqJQUlFh,2017-01-14 16:07:16,98480,145773,84228,54794527,a,Edge,Tablet,0
6183459,IDC9ZjlWT,2017-01-10 16:14:26,4170453,928512,10345,42296429,b,Edge,Tablet,0
3606516,IDD8tXFNz,2017-01-18 16:46:23,7134857,422959,82396,45446370,c,Mozilla Firefox,Desktop,0
11950593,IDuCCpDx0,2017-01-17 13:23:51,,473807,25491,79474990,b,Mozilla,Desktop,0
2979068,IDwbqMgoG,2017-01-14 13:52:31,9303527,637733,45287,60188064,b,Edge,Tablet,0
9856807,IDeNJc04M,2017-01-16 17:14:25,2050628,809816,97863,3156697,d,Firefox,Mobile,0
7707604,IDy0N2FtH,2017-01-20 16:03:26,6754937,873859,36610,74868704,b,Mozilla,Desktop,0
1782038,ID6h0nkFu,2017-01-11 14:08:29,8356977,368890,21407,26461535,a,InternetExplorer,Desktop,0
8582402,IDDsVTPJC,2017-01-15 11:01:23,4857129,427580,64452,92640312,a,Firefox,Mobile,0
247784,IDl0TJYiQ,2017-01-14 15:09:23,8948063,110082,48498,77046603,b,Mozilla Firefox,,0
10860060,IDLjSlHvM,2017-01-15 17:17:16,6212556,508577,21380,26461535,f,Firefox,Mobile,0
9305034,ID0IIKVg4,2017-01-17 07:33:32,2739384,739334,30580,26461535,b,InternetExplorer,Desktop,0
10109977,IDGp2jiF1,2017-01-14 15:52:34,2902236,352789,54916,54526992,a,Firefox,,0
4402887,ID1LhfFav,2017-01-12 12:54:04,4523700,447265,8467,56546102,b,Edge,Tablet,0
1495088,IDqHEnnQu,2017-01-17 13:14:05,2964525,602468,17714,29916445,a,Firefox,Mobile,0
11478819,IDrgOKDii,2017-01-20 01:17:37,9957828,820146,904,26391770,e,Internet Explorer,Tablet,0
8003638,IDLTMLXfo,2017-01-19 13:22:54,3586281,970370,40339,37135965,b,Edge,,0
9965030,IDSDpDCEh,2017-01-19 09:52:39,7449153,916528,2053,36082259,b,,Tablet,0
789583,IDLU6JfoS,2017-01-17 09:49:32,8668438,565539,92704,93157824,f,Edge,Tablet,0
11660147,IDyssuD3V,2017-01-13 10:23:57,1750215,972481,25436,29624796,e,,Tablet,0
9381009,ID1u83Rgq,2017-01-12 15:05:31,1055321,324966,904,26391770,b,Mozilla,Desktop,0
8662616,IDXWcIhcM,2017-01-12 18:38:49,9518593,136673,53956,9434818,c,Firefox,Mobile,0
11739280,IDe4eKZfP,2017-01-11 03:44:04,4025649,68770,43612,74868704,b,Firefox,Mobile,0
8121188,IDofoSZom,2017-01-16 12:12:39,9753688,566247,64452,87726715,a,Firefox,,0
4331599,IDLtuFtNx,2017-01-11 16:38:53,9738432,76066,84987,37135965,b,IE,Mobile,0
8332781,IDChmBvcY,2017-01-16 11:45:14,679583,7718,34670,87807327,d,InternetExplorer,Desktop,0
6530412,IDKa7RIQ1,2017-01-12 15:31:21,4178104,121652,56811,23703974,b,Mozilla,,0
8787465,IDe0ZwnOP,2017-01-15 09:34:09,6243183,745265,95113,65017662,b,Edge,Tablet,0
9804582,IDUnfBJh3,2017-01-12 18:28:33,5178589,600491,22023,48644561,f,Edge,Tablet,0
5425704,IDHHxRQB2,2017-01-17 14:17:24,3197319,149159,7126,53807073,b,Edge,Tablet,0
4075737,IDiRchzzj,2017-01-19 17:09:45,5750282,193913,54916,29624796,f,Mozilla Firefox,Desktop,0
2252383,IDikCrXz3,2017-01-18 10:58:54,9046764,789710,6906,99510044,b,Mozilla Firefox,,0
8445131,IDjdfHuA9,2017-01-20 08:14:05,,886612,82877,33505809,a,Edge,,0
2977240,IDgDIhcRT,2017-01-16 08:50:15,5605830,519387,97103,48935934,b,Edge,,0
8819214,IDZF7BbHZ,2017-01-17 17:33:21,1413660,222237,61341,29916445,f,Firefox,Mobile,0
4216848,IDfqezugI,2017-01-19 09:01:03,,795410,42227,96823930,d,InternetExplorer,Desktop,0
6229230,IDGcaxkQ8,2017-01-10 18:51:27,2229667,4,904,74363610,a,,,0
11924397,IDsWRF8RG,2017-01-10 21:25:22,3103365,125631,54343,3402198,a,InternetExplorer,Desktop,1
4065480,IDKS25or4,2017-01-11 14:05:02,5295359,957798,17714,20301556,a,IE,Mobile,0
3497996,IDNxvYkkU,2017-01-17 10:32:15,2561841,578963,8414,47079934,a,Chrome,Desktop,0
10344182,ID1leN3dv,2017-01-12 14:16:49,2938437,819496,6747,38512091,a,Mozilla Firefox,Desktop,0
781255,IDldylHnJ,2017-01-13 13:28:29,5952619,203792,26962,57977218,b,Safari,Tablet,0
9154809,ID1HihQ2d,2017-01-17 18:22:34,,748460,82396,15961717,c,,Mobile,1
7474976,ID3mxRRs1,2017-01-10 16:03:15,9026927,620520,34670,6171136,e,Firefox,Mobile,0
10450607,IDRHAKK67,2017-01-13 15:28:55,8119016,919808,1678,73017084,a,Mozilla Firefox,Desktop,0
9246708,IDauVaPd7,2017-01-14 02:30:12,2024373,632490,80554,57977218,f,,Mobile,0
1824260,IDHcAQxq6,2017-01-11 19:58:35,7184012,930413,34670,87807327,c,IE,Mobile,0
6793010,IDf8fwInH,2017-01-13 09:02:38,9145828,673089,6906,99510044,c,Internet Explorer,Tablet,0
6147485,IDL55jj2u,2017-01-11 09:18:37,3145853,347298,33638,47079934,a,Edge,Tablet,0
903889,ID4qfQR8E,2017-01-11 09:41:00,667666,203121,54916,62201833,b,Firefox,Mobile,0
7331231,IDeMuTqlb,2017-01-12 17:03:35,6659838,343459,6906,98830533,b,Mozilla,Desktop,0
11463916,IDohqFvIj,2017-01-11 19:28:00,9005724,28105,11837,14999030,f,Chrome,Desktop,0
11769028,IDl3L5iQH,2017-01-18 17:39:42,2365145,256855,39628,91553313,b,Edge,,0
3843361,ID3rk6XLv,2017-01-14 15:08:31,3781431,270119,12052,54630329,a,Edge,Tablet,0
1108367,IDPoewSfd,2017-01-19 12:42:54,956204,185257,12211,7864011,a,Edge,Tablet,0
10063466,IDilEIuOW,2017-01-11 14:09:32,6598149,189101,98552,64615852,f,Firefox,,0
9130136,IDYGPFe6I,2017-01-16 09:51:58,7173941,994486,5602,37767166,b,Edge,Tablet,0
2262068,ID5osZ5WS,2017-01-14 09:06:41,,712540,47327,65017662,b,Firefox,Mobile,0
3026873,IDv5ij76j,2017-01-20 12:58:37,5432586,515681,5602,76683174,e,Firefox,Mobile,0
3336474,IDutrSYHB,2017-01-10 15:33:33,1468577,116658,25491,74868704,b,Edge,Tablet,0
1659713,IDw0XvOhu,2017-01-17 17:25:10,4290101,448050,42227,21153737,b,Google Chrome,Mobile,0
7185714,IDLzz4mvM,2017-01-14 13:18:11,8035566,969405,33638,47079934,b,Firefox,Mobile,0
5126857,IDjaoLHar,2017-01-20 11:57:32,3293504,780186,40339,13742268,b,Mozilla,Desktop,0
3724372,IDfm3Tl1z,2017-01-11 19:41:38,3973451,552026,6906,98830533,c,Edge,Tablet,0
10769777,ID14mglDZ,2017-01-10 18:01:13,8779098,938696,17714,74363610,a,Google Chrome,Mobile,0
5835510,IDAYHSzbp,2017-01-19 06:45:45,6323723,115026,95113,65017662,b,Firefox,Mobile,0
352829,IDE8w5kgY,2017-01-18 11:10:50,2677630,504131,41706,4000296,b,Firefox,Mobile,0
8282261,IDL7fK2z7,2017-01-16 09:59:29,815630,516444,34670,41475976,a,InternetExplorer,Desktop,0
11678304,IDjAfmOtD,2017-01-19 16:33:39,9917046,234252,80554,61940782,a,,Mobile,0
1380481,IDdPk1pdk,2017-01-10 08:38:36,6516572,292701,34670,1569330,a,Edge,Tablet,0
3354371,ID0C0Ah50,2017-01-14 15:56:49,6036777,566278,5602,80653536,a,,Desktop,0
9044776,IDwQzDu9E,2017-01-13 09:55:14,5513539,109612,40339,43452411,c,Firefox,Mobile,0
9598025,ID4IScx4R,2017-01-20 12:02:19,2639782,58125,41706,4000296,a,Firefox,Mobile,0
6857005,ID8fei5Oe,2017-01-20 16:50:03,1049559,618257,33287,46997962,b,Google Chrome,Mobile,0
7677730,ID2NDbKbo,2017-01-18 16:59:37,,326487,2308,74868704,b,Firefox,Mobile,0
3581548,ID0rxgzf8,2017-01-15 12:32:20,8390891,272262,68947,43526789,b,InternetExplorer,Desktop,0
4544504,IDibRvRiA,2017-01-14 13:06:05,5287560,883871,17714,74363610,b,Firefox,Mobile,0
456106,IDatV5AsO,2017-01-14 16:54:42,5467889,449070,92704,95441506,f,InternetExplorer,,0
8200475,IDu7ElQYi,2017-01-14 12:33:35,1262910,141729,83091,74868704,b,Firefox,Mobile,0
10644068,ID8pGRovz,2017-01-12 17:19:02,1696092,846505,96313,2835657,b,Mozilla Firefox,,0
5486981,IDKE8Ap7Q,2017-01-19 17:15:06,7105191,858117,97863,36994522,b,Edge,,0
4923298,ID8SYicr6,2017-01-14 14:24:28,4532244,636406,56811,23703974,f,Firefox,Mobile,0
9292761,ID8iFVpxP,2017-01-10 12:22:55,9256247,344186,87895,61940782,b,Mozilla,,0
306042,IDSgkJ7jS,2017-01-14 15:10:01,6549428,937937,20322,54526992,b,Mozilla,,0
4221891,IDKrPF3Gm,2017-01-17 14:48:14,4273434,815719,93286,27723861,a,Mozilla Firefox,Desktop,0
10047309,IDHUzWrNl,2017-01-12 12:34:30,44841,967787,55541,74363610,a,Opera,Mobile,0
4733701,IDec8SSlQ,2017-01-13 03:47:59,809285,279327,74580,20301556,b,,,0
11595536,ID7inHvtz,2017-01-18 17:14:33,9753688,174550,17714,61682792,a,Edge,Tablet,0
177247,ID3XCm43o,2017-01-12 10:57:28,2745471,111714,37815,27723861,f,Firefox,Mobile,0
11687744,ID6aiEaJu,2017-01-16 12:31:28,5383105,312230,17118,7122654,a,Edge,Tablet,0
7383078,IDBil0jFK,2017-01-16 16:17:04,4968530,407099,11837,15961717,a,Edge,Tablet,0
2818314,IDnjMBiiw,2017-01-14 08:53:47,5652966,303536,904,29916445,a,Firefox,Mobile,0
2322107,IDm2lgl6b,2017-01-16 16:53:08,9904633,478077,6906,99510044,b,Chrome,Desktop,0
2864368,IDrYXX3QS,2017-01-12 10:30:24,6345552,259826,33033,17488931,b,Internet Explorer,Tablet,0
11150945,IDYHuOvwS,2017-01-18 09:08:38,6530313,529293,3643,555603,a,Firefox,Mobile,0
4264763,IDPoGdq1z,2017-01-10 13:19:13,,162525,40339,37135965,e,Edge,,0
1920244,IDVeXmbOI,2017-01-17 09:55:03,842219,167096,8414,47079934,c,Edge,Tablet,0
11331089,IDfcNQCvh,2017-01-15 15:21:50,7117640,30254,54916,7864011,a,Mozilla Firefox,Desktop,0
6503850,IDuLflEAE,2017-01-10 17:53:54,,790205,80319,87470165,e,Internet Explorer,Tablet,0
372967,ID4ewa63u,2017-01-20 14:56:28,4398410,109612,40339,43452411,b,Mozilla,Desktop,0
8021987,IDEGg3lmD,2017-01-17 15:39:28,7128970,500506,40339,13742268,e,Firefox,,0
2706338,IDGlwrvaT,2017-01-13 17:41:32,1049345,833189,34670,6171136,b,Firefox,Mobile,0
820716,IDd5hfU4c,2017-01-14 11:35:05,3327892,996888,34670,81055422,c,Edge,Tablet,0
8639663,IDeg5ReEv,2017-01-14 16:34:58,9367729,834393,42227,73900798,b,Edge,Tablet,0
6333033,IDW0V39xn,2017-01-20 14:50:46,36398,290870,41706,4000296,d,Chrome,,0
3673712,IDy3JcERJ,2017-01-20 08:15:09,3122263,37123,81229,91553313,a,Mozilla,Desktop,0
8471728,ID1rk0Hbo,2017-01-17 14:16:35,3085427,851360,10345,33683592,c,Firefox,Mobile,0
6542436,IDGVv4G0B,2017-01-14 15:03:37,,711308,3643,555603,b,Firefox,Mobile,0
2990629,IDrjUFHOL,2017-01-13 14:30:54,,10369,82877,48615529,a,,Mobile,0
7664796,IDHtpuFwS,2017-01-18 11:29:33,141740,939985,98552,16150900,b,,Tablet,0
370965,IDqX34zXe,2017-01-20 13:29:26,7295071,310829,61208,27723861,e,Firefox,Mobile,0
9700238,IDSLJrp2P,2017-01-10 16:01:31,5357507,689451,48498,30860214,b,Firefox,Mobile,0
11622130,IDEeQzlrf,2017-01-13 16:38:07,141740,106472,72276,90093962,b,Mozilla,,0
2255421,IDKyow7EQ,2017-01-20 17:07:57,2694848,612795,44388,26391770,c,Firefox,Mobile,0
7995574,IDrm0uRnL,2017-01-14 16:33:13,9457339,711912,2053,63492765,b,Firefox,Mobile,0
9005226,IDyl8TOXx,2017-01-18 17:33:28,3646029,261333,12211,50595884,a,Edge,,0
10437460,IDvLrmQn6,2017-01-11 07:48:03,8708299,470921,6906,98830533,b,Firefox,Mobile,0
6617974,IDiUKoMRM,2017-01-13 12:30:52,6363106,114557,44388,20301556,e,Mozilla Firefox,Desktop,0
9605402,IDbXRGOnu,2017-01-15 21:29:10,8738372,470805,45620,54630329,c,Chrome,Desktop,1
3322164,IDtSKLI50,2017-01-16 15:59:08,9559811,676030,97103,82365062,a,Mozilla,Desktop,0
9022858,IDGTgsISE,2017-01-12 13:43:57,199752,996309,2053,63492765,b,Edge,,0
630072,IDFaIutUu,2017-01-14 09:50:17,6563054,526829,95113,65017662,a,Edge,Tablet,0
3850259,ID7xcrJnq,2017-01-11 16:52:22,,991529,42227,43770446,a,Firefox,Mobile,0
1661157,IDrrz5TLB,2017-01-20 17:37:51,6549428,565379,25491,30860214,b,Firefox,Mobile,0
8594487,IDaUjkclb,2017-01-11 15:14:40,8241598,782770,72276,46997962,a,Edge,,0
5368834,IDW5GlKqi,2017-01-11 16:49:02,7338023,973956,71441,57977218,c,IE,Mobile,0
7448248,IDkt2Fgg3,2017-01-13 08:55:43,7930294,737866,46450,7864011,b,Edge,Tablet,0
3469026,IDpve6ufv,2017-01-10 18:43:27,7336195,628311,40339,50706198,b,Firefox,Mobile,0
3886768,IDfyBywkw,2017-01-13 16:53:42,4301035,612075,2053,91553313,a,Firefox,Mobile,0
4476163,IDo0pLl6C,2017-01-11 10:26:42,6530347,114666,49810,13742268,b,Mozilla Firefox,,0
7812627,IDFtkLoZW,2017-01-15 18:35:31,9533752,592955,11837,88843407,b,Edge,Tablet,0
1126219,IDgaziA01,2017-01-11 18:10:30,4274995,687498,84987,74868704,a,Edge,Tablet,0
4213994,IDuJmEFbM,2017-01-16 12:49:43,9178338,867225,6906,99510044,a,Mozilla,Desktop,0
2350388,IDEN8sDNC,2017-01-12 12:14:45,9348873,406978,904,58604466,b,Edge,Tablet,0
9721697,IDj5Mpdrb,2017-01-18 15:24:12,3284154,772599,9764,7181598,f,Edge,Tablet,0
2685897,IDoS3HdAp,2017-01-18 16:11:51,,915062,76239,67147700,e,Safari,,0
68560,IDJMK1zDS,2017-01-20 10:16:50,3618381,568041,15124,99558603,b,Edge,Tablet,0
1585283,IDiFUaP1J,2017-01-14 09:33:06,,403529,89522,47079934,f,Edge,Tablet,0
2272135,IDUZ5SlSp,2017-01-20 14:33:08,1981485,748472,11837,7864011,f,Edge,Tablet,0
9204108,IDl4lVaur,2017-01-12 18:30:19,3844166,874536,23576,7122654,b,Edge,Tablet,0
9156835,ID5J4LGZV,2017-01-13 15:44:54,4882623,433291,15912,63767331,b,Mozilla,Desktop,0
11847259,IDqdGLFDo,2017-01-15 10:47:31,4847304,89309,45287,20301556,a,Mozilla,Desktop,0
2675214,IDTbdrkBg,2017-01-13 14:00:32,6783300,64823,68947,54526992,b,InternetExplorer,Desktop,0
982106,IDqgB3zhw,2017-01-20 11:00:01,9703827,747069,8467,30860214,d,Opera,Mobile,0
11381204,IDXKAp5Cb,2017-01-10 05:05:37,9299571,788781,73362,86289887,b,Firefox,Mobile,0
5082492,IDR7YJ8Ve,2017-01-17 17:36:50,1452430,544102,74263,27723861,c,Edge,Tablet,0
8358238,IDh3fQC99,2017-01-11 19:32:31,2504452,859006,14960,52437512,a,Mozilla,,0
9266237,IDBmOKxhj,2017-01-14 06:35:51,5008530,480824,33638,33505809,e,Firefox,Mobile,0
2401296,IDqlheg6i,2017-01-16 17:39:56,6777768,64088,45620,31388981,e,Firefox,,0
11102226,IDRaQHpjQ,2017-01-14 09:20:12,5388314,606746,40339,25497095,b,Chrome,Desktop,0
7686314,IDdTcnnJ9,2017-01-13 17:30:07,4659663,769099,6906,99510044,b,Mozilla,Desktop,0
2136882,ID3G6WKPB,2017-01-12 17:07:48,,965275,23576,17990842,f,Firefox,Mobile,0
2899005,IDGZMVodE,2017-01-13 10:26:09,,9005,42227,1436904,b,Edge,Tablet,0
74377,IDTS3GTEp,2017-01-14 10:15:02,361957,369601,65251,57977218,d,Edge,Tablet,0
15880,IDzJsdQzt,2017-01-17 09:54:25,8977002,51410,835,58604466,f,InternetExplorer,Desktop,0
1297903,IDuegO4aB,2017-01-20 14:47:36,,250176,54916,43526789,f,Firefox,Mobile,0
11516801,IDpLY0vue,2017-01-14 11:45:48,5024142,973500,46365,74363610,b,,Desktop,0
2692003,ID2LAnxBG,2017-01-15 11:46:00,9539423,679470,95113,65017662,e,Firefox,Mobile,0
9328263,IDpgHmVG1,2017-01-14 11:14:35,4199344,545121,41706,4000296,f,Edge,Tablet,0
8612316,IDFKDq9IW,2017-01-14 10:58:40,8103877,194892,904,20301556,b,Mozilla,,0
7107005,IDCE2tq01,2017-01-13 16:22:09,7955456,187083,61208,91553313,b,Firefox,Mobile,0
9492946,IDpDLVgos,2017-01-11 12:32:06,4279094,598384,77521,82291592,a,Google Chrome,Mobile,0
9348565,ID7ZbXyGw,2017-01-17 15:32:47,7069675,788571,12211,84522677,b,Mozilla Firefox,Desktop,0
8081053,IDi8opt2v,2017-01-16 15:02:27,7814921,818837,12211,27723861,a,Mozilla Firefox,Desktop,0
6325179,IDtaO7HJ6,2017-01-14 12:02:30,428449,769222,26966,48615529,e,Edge,Tablet,0
3261781,IDgyoUsbY,2017-01-13 10:10:09,1568003,94729,22023,23588197,a,Mozilla,Desktop,0
8597483,IDI22Uc3F,2017-01-18 11:13:33,,479469,33033,87807327,d,Edge,Tablet,0
11861415,IDXtsMAcM,2017-01-16 12:02:25,8582239,37866,42227,49384126,b,Mozilla,Desktop,0
9719905,IDYMEX7Ep,2017-01-16 09:54:33,,277876,54916,6171136,b,Edge,,0
12021197,IDqfJdzyM,2017-01-11 11:46:03,732011,794582,44388,2050923,b,Opera,Mobile,0
10483113,IDYqTClGj,2017-01-20 10:07:00,4368894,434866,17714,54794527,a,Edge,Tablet,0
4439303,IDaxVNVq1,2017-01-16 11:08:52,8330223,867952,24888,81758577,a,Firefox,Mobile,0
6294255,IDvXT1IC4,2017-01-18 14:41:37,4788605,670812,46450,47079934,a,InternetExplorer,Desktop,0
9029789,IDXEkNZP7,2017-01-16 17:20:05,8714310,422997,14960,52437512,e,Firefox,Mobile,0
483136,IDzjRwPN3,2017-01-18 14:31:55,8658303,279985,42227,15961717,d,Edge,Tablet,0
7361505,IDbJVHy3f,2017-01-16 17:13:29,2686046,360662,6906,99510044,b,IE,Mobile,0
8199696,IDDytDRiU,2017-01-20 12:22:51,1114929,453873,41706,16943535,b,Edge,Tablet,0
