,ID,datetime,Day,Time,siteid,offerid,category,merchant,countrycode,browserid,devid,click
4980657,IDqJQUlFh,2017-01-14 16:07:16,14,16,98480,145773,84228,54794527,1,2,4,0
6183459,IDC9ZjlWT,2017-01-10 16:14:26,10,16,4170453,928512,10345,42296429,2,2,4,0
3606516,IDD8tXFNz,2017-01-18 16:46:23,18,16,7134857,422959,82396,45446370,3,3,2,0
11950593,IDuCCpDx0,2017-01-17 13:23:51,17,13,,473807,25491,79474990,2,3,2,0
2979068,IDwbqMgoG,2017-01-14 13:52:31,14,13,9303527,637733,45287,60188064,2,2,4,0
9856807,IDeNJc04M,2017-01-16 17:14:25,16,17,2050628,809816,97863,3156697,4,3,1,0
7707604,IDy0N2FtH,2017-01-20 16:03:26,20,16,6754937,873859,36610,74868704,2,3,2,0
1782038,ID6h0nkFu,2017-01-11 14:08:29,11,14,8356977,368890,21407,26461535,1,4,2,0
8582402,IDDsVTPJC,2017-01-15 11:01:23,15,11,4857129,427580,64452,92640312,1,3,1,0
247784,IDl0TJYiQ,2017-01-14 15:09:23,14,15,8948063,110082,48498,77046603,2,3,3,0
10860060,IDLjSlHvM,2017-01-15 17:17:16,15,17,6212556,508577,21380,26461535,6,3,1,0
9305034,ID0IIKVg4,2017-01-17 07:33:32,17,7,2739384,739334,30580,26461535,2,4,2,0
10109977,IDGp2jiF1,2017-01-14 15:52:34,14,15,2902236,352789,54916,54526992,1,3,3,0
4402887,ID1LhfFav,2017-01-12 12:54:04,12,12,4523700,447265,8467,56546102,2,2,4,0
1495088,IDqHEnnQu,2017-01-17 13:14:05,17,13,2964525,602468,17714,29916445,1,3,1,0
11478819,IDrgOKDii,2017-01-20 01:17:37,20,1,9957828,820146,904,26391770,5,4,4,0
8003638,IDLTMLXfo,2017-01-19 13:22:54,19,13,3586281,970370,40339,37135965,2,2,3,0
9965030,IDSDpDCEh,2017-01-19 09:52:39,19,9,7449153,916528,2053,36082259,2,7,4,0
789583,IDLU6JfoS,2017-01-17 09:49:32,17,9,8668438,565539,92704,93157824,6,2,4,0
11660147,IDyssuD3V,2017-01-13 10:23:57,13,10,1750215,972481,25436,29624796,5,7,4,0
9381009,ID1u83Rgq,2017-01-12 15:05:31,12,15,1055321,324966,904,26391770,2,3,2,0
8662616,IDXWcIhcM,2017-01-12 18:38:49,12,18,9518593,136673,53956,9434818,3,3,1,0
11739280,IDe4eKZfP,2017-01-11 03:44:04,11,3,4025649,68770,43612,74868704,2,3,1,0
8121188,IDofoSZom,2017-01-16 12:12:39,16,12,9753688,566247,64452,87726715,1,3,3,0
4331599,IDLtuFtNx,2017-01-11 16:38:53,11,16,9738432,76066,84987,37135965,2,4,1,0
8332781,IDChmBvcY,2017-01-16 11:45:14,16,11,679583,7718,34670,87807327,4,4,2,0
6530412,IDKa7RIQ1,2017-01-12 15:31:21,12,15,4178104,121652,56811,23703974,2,3,3,0
8787465,IDe0ZwnOP,2017-01-15 09:34:09,15,9,6243183,745265,95113,65017662,2,2,4,0
9804582,IDUnfBJh3,2017-01-12 18:28:33,12,18,5178589,600491,22023,48644561,6,2,4,0
5425704,IDHHxRQB2,2017-01-17 14:17:24,17,14,3197319,149159,7126,53807073,2,2,4,0
4075737,IDiRchzzj,2017-01-19 17:09:45,19,17,5750282,193913,54916,29624796,6,3,2,0
2252383,IDikCrXz3,2017-01-18 10:58:54,18,10,9046764,789710,6906,99510044,2,3,3,0
8445131,IDjdfHuA9,2017-01-20 08:14:05,20,8,,886612,82877,33505809,1,2,3,0
2977240,IDgDIhcRT,2017-01-16 08:50:15,16,8,5605830,519387,97103,48935934,2,2,3,0
8819214,IDZF7BbHZ,2017-01-17 17:33:21,17,17,1413660,222237,61341,29916445,6,3,1,0
4216848,IDfqezugI,2017-01-19 09:01:03,19,9,,795410,42227,96823930,4,4,2,0
6229230,IDGcaxkQ8,2017-01-10 18:51:27,10,18,2229667,4,904,74363610,1,7,3,0
11924397,IDsWRF8RG,2017-01-10 21:25:22,10,21,3103365,125631,54343,3402198,1,4,2,1
4065480,IDKS25or4,2017-01-11 14:05:02,11,14,5295359,957798,17714,20301556,1,4,1,0
3497996,IDNxvYkkU,2017-01-17 10:32:15,17,10,2561841,578963,8414,47079934,1,1,2,0
10344182,ID1leN3dv,2017-01-12 14:16:49,12,14,2938437,819496,6747,38512091,1,3,2,0
781255,IDldylHnJ,2017-01-13 13:28:29,13,13,5952619,203792,26962,57977218,2,6,4,0
9154809,ID1HihQ2d,2017-01-17 18:22:34,17,18,,748460,82396,15961717,3,7,1,1
7474976,ID3mxRRs1,2017-01-10 16:03:15,10,16,9026927,620520,34670,6171136,5,3,1,0
10450607,IDRHAKK67,2017-01-13 15:28:55,13,15,8119016,919808,1678,73017084,1,3,2,0
9246708,IDauVaPd7,2017-01-14 02:30:12,14,2,2024373,632490,80554,57977218,6,7,1,0
1824260,IDHcAQxq6,2017-01-11 19:58:35,11,19,7184012,930413,34670,87807327,3,4,1,0
6793010,IDf8fwInH,2017-01-13 09:02:38,13,9,9145828,673089,6906,99510044,3,4,4,0
6147485,IDL55jj2u,2017-01-11 09:18:37,11,9,3145853,347298,33638,47079934,1,2,4,0
903889,ID4qfQR8E,2017-01-11 09:41:00,11,9,667666,203121,54916,62201833,2,3,1,0
7331231,IDeMuTqlb,2017-01-12 17:03:35,12,17,6659838,343459,6906,98830533,2,3,2,0
11463916,IDohqFvIj,2017-01-11 19:28:00,11,19,9005724,28105,11837,14999030,6,1,2,0
11769028,IDl3L5iQH,2017-01-18 17:39:42,18,17,2365145,256855,39628,91553313,2,2,3,0
3843361,ID3rk6XLv,2017-01-14 15:08:31,14,15,3781431,270119,12052,54630329,1,2,4,0
1108367,IDPoewSfd,2017-01-19 12:42:54,19,12,956204,185257,12211,7864011,1,2,4,0
10063466,IDilEIuOW,2017-01-11 14:09:32,11,14,6598149,189101,98552,64615852,6,3,3,0
9130136,IDYGPFe6I,2017-01-16 09:51:58,16,9,7173941,994486,5602,37767166,2,2,4,0
2262068,ID5osZ5WS,2017-01-14 09:06:41,14,9,,712540,47327,65017662,2,3,1,0
3026873,IDv5ij76j,2017-01-20 12:58:37,20,12,5432586,515681,5602,76683174,5,3,1,0
3336474,IDutrSYHB,2017-01-10 15:33:33,10,15,1468577,116658,25491,74868704,2,2,4,0
1659713,IDw0XvOhu,2017-01-17 17:25:10,17,17,4290101,448050,42227,21153737,2,1,1,0
7185714,IDLzz4mvM,2017-01-14 13:18:11,14,13,8035566,969405,33638,47079934,2,3,1,0
5126857,IDjaoLHar,2017-01-20 11:57:32,20,11,3293504,780186,40339,13742268,2,3,2,0
3724372,IDfm3Tl1z,2017-01-11 19:41:38,11,19,3973451,552026,6906,98830533,3,2,4,0
10769777,ID14mglDZ,2017-01-10 18:01:13,10,18,8779098,938696,17714,74363610,1,1,1,0
5835510,IDAYHSzbp,2017-01-19 06:45:45,19,6,6323723,115026,95113,65017662,2,3,1,0
352829,IDE8w5kgY,2017-01-18 11:10:50,18,11,2677630,504131,41706,4000296,2,3,1,0
8282261,IDL7fK2z7,2017-01-16 09:59:29,16,9,815630,516444,34670,41475976,1,4,2,0
11678304,IDjAfmOtD,2017-01-19 16:33:39,19,16,9917046,234252,80554,61940782,1,7,1,0
1380481,IDdPk1pdk,2017-01-10 08:38:36,10,8,6516572,292701,34670,1569330,1,2,4,0
3354371,ID0C0Ah50,2017-01-14 15:56:49,14,15,6036777,566278,5602,80653536,1,7,2,0
9044776,IDwQzDu9E,2017-01-13 09:55:14,13,9,5513539,109612,40339,43452411,3,3,1,0
9598025,ID4IScx4R,2017-01-20 12:02:19,20,12,2639782,58125,41706,4000296,1,3,1,0
6857005,ID8fei5Oe,2017-01-20 16:50:03,20,16,1049559,618257,33287,46997962,2,1,1,0
7677730,ID2NDbKbo,2017-01-18 16:59:37,18,16,,326487,2308,74868704,2,3,1,0
3581548,ID0rxgzf8,2017-01-15 12:32:20,15,12,8390891,272262,68947,43526789,2,4,2,0
4544504,IDibRvRiA,2017-01-14 13:06:05,14,13,5287560,883871,17714,74363610,2,3,1,0
456106,IDatV5AsO,2017-01-14 16:54:42,14,16,5467889,449070,92704,95441506,6,4,3,0
8200475,IDu7ElQYi,2017-01-14 12:33:35,14,12,1262910,141729,83091,74868704,2,3,1,0
10644068,ID8pGRovz,2017-01-12 17:19:02,12,17,1696092,846505,96313,2835657,2,3,3,0
5486981,IDKE8Ap7Q,2017-01-19 17:15:06,19,17,7105191,858117,97863,36994522,2,2,3,0
4923298,ID8SYicr6,2017-01-14 14:24:28,14,14,4532244,636406,56811,23703974,6,3,1,0
9292761,ID8iFVpxP,2017-01-10 12:22:55,10,12,9256247,344186,87895,61940782,2,3,3,0
306042,IDSgkJ7jS,2017-01-14 15:10:01,14,15,6549428,937937,20322,54526992,2,3,3,0
4221891,IDKrPF3Gm,2017-01-17 14:48:14,17,14,4273434,815719,93286,27723861,1,3,2,0
10047309,IDHUzWrNl,2017-01-12 12:34:30,12,12,44841,967787,55541,74363610,1,5,1,0
4733701,IDec8SSlQ,2017-01-13 03:47:59,13,3,809285,279327,74580,20301556,2,7,3,0
11595536,ID7inHvtz,2017-01-18 17:14:33,18,17,9753688,174550,17714,61682792,1,2,4,0
177247,ID3XCm43o,2017-01-12 10:57:28,12,10,2745471,111714,37815,27723861,6,3,1,0
11687744,ID6aiEaJu,2017-01-16 12:31:28,16,12,5383105,312230,17118,7122654,1,2,4,0
7383078,IDBil0jFK,2017-01-16 16:17:04,16,16,4968530,407099,11837,15961717,1,2,4,0
2818314,IDnjMBiiw,2017-01-14 08:53:47,14,8,5652966,303536,904,29916445,1,3,1,0
2322107,IDm2lgl6b,2017-01-16 16:53:08,16,16,9904633,478077,6906,99510044,2,1,2,0
2864368,IDrYXX3QS,2017-01-12 10:30:24,12,10,6345552,259826,33033,17488931,2,4,4,0
11150945,IDYHuOvwS,2017-01-18 09:08:38,18,9,6530313,529293,3643,555603,1,3,1,0
4264763,IDPoGdq1z,2017-01-10 13:19:13,10,13,,162525,40339,37135965,5,2,3,0
1920244,IDVeXmbOI,2017-01-17 09:55:03,17,9,842219,167096,8414,47079934,3,2,4,0
11331089,IDfcNQCvh,2017-01-15 15:21:50,15,15,7117640,30254,54916,7864011,1,3,2,0
6503850,IDuLflEAE,2017-01-10 17:53:54,10,17,,790205,80319,87470165,5,4,4,0
372967,ID4ewa63u,2017-01-20 14:56:28,20,14,4398410,109612,40339,43452411,2,3,2,0
8021987,IDEGg3lmD,2017-01-17 15:39:28,17,15,7128970,500506,40339,13742268,5,3,3,0
2706338,IDGlwrvaT,2017-01-13 17:41:32,13,17,1049345,833189,34670,6171136,2,3,1,0
820716,IDd5hfU4c,2017-01-14 11:35:05,14,11,3327892,996888,34670,81055422,3,2,4,0
8639663,IDeg5ReEv,2017-01-14 16:34:58,14,16,9367729,834393,42227,73900798,2,2,4,0
6333033,IDW0V39xn,2017-01-20 14:50:46,20,14,36398,290870,41706,4000296,4,1,3,0
3673712,IDy3JcERJ,2017-01-20 08:15:09,20,8,3122263,37123,81229,91553313,1,3,2,0
8471728,ID1rk0Hbo,2017-01-17 14:16:35,17,14,3085427,851360,10345,33683592,3,3,1,0
6542436,IDGVv4G0B,2017-01-14 15:03:37,14,15,,711308,3643,555603,2,3,1,0
2990629,IDrjUFHOL,2017-01-13 14:30:54,13,14,,10369,82877,48615529,1,7,1,0
7664796,IDHtpuFwS,2017-01-18 11:29:33,18,11,141740,939985,98552,16150900,2,7,4,0
370965,IDqX34zXe,2017-01-20 13:29:26,20,13,7295071,310829,61208,27723861,5,3,1,0
9700238,IDSLJrp2P,2017-01-10 16:01:31,10,16,5357507,689451,48498,30860214,2,3,1,0
11622130,IDEeQzlrf,2017-01-13 16:38:07,13,16,141740,106472,72276,90093962,2,3,3,0
2255421,IDKyow7EQ,2017-01-20 17:07:57,20,17,2694848,612795,44388,26391770,3,3,1,0
7995574,IDrm0uRnL,2017-01-14 16:33:13,14,16,9457339,711912,2053,63492765,2,3,1,0
9005226,IDyl8TOXx,2017-01-18 17:33:28,18,17,3646029,261333,12211,50595884,1,2,3,0
10437460,IDvLrmQn6,2017-01-11 07:48:03,11,7,8708299,470921,6906,98830533,2,3,1,0
6617974,IDiUKoMRM,2017-01-13 12:30:52,13,12,6363106,114557,44388,20301556,5,3,2,0
9605402,IDbXRGOnu,2017-01-15 21:29:10,15,21,8738372,470805,45620,54630329,3,1,2,1
3322164,IDtSKLI50,2017-01-16 15:59:08,16,15,9559811,676030,97103,82365062,1,3,2,0
9022858,IDGTgsISE,2017-01-12 13:43:57,12,13,199752,996309,2053,63492765,2,2,3,0
630072,IDFaIutUu,2017-01-14 09:50:17,14,9,6563054,526829,95113,65017662,1,2,4,0
3850259,ID7xcrJnq,2017-01-11 16:52:22,11,16,,991529,42227,43770446,1,3,1,0
1661157,IDrrz5TLB,2017-01-20 17:37:51,20,17,6549428,565379,25491,30860214,2,3,1,0
8594487,IDaUjkclb,2017-01-11 15:14:40,11,15,8241598,782770,72276,46997962,1,2,3,0
5368834,IDW5GlKqi,2017-01-11 16:49:02,11,16,7338023,973956,71441,57977218,3,4,1,0
7448248,IDkt2Fgg3,2017-01-13 08:55:43,13,8,7930294,737866,46450,7864011,2,2,4,0
3469026,IDpve6ufv,2017-01-10 18:43:27,10,18,7336195,628311,40339,50706198,2,3,1,0
3886768,IDfyBywkw,2017-01-13 16:53:42,13,16,4301035,612075,2053,91553313,1,3,1,0
4476163,IDo0pLl6C,2017-01-11 10:26:42,11,10,6530347,114666,49810,13742268,2,3,3,0
7812627,IDFtkLoZW,2017-01-15 18:35:31,15,18,9533752,592955,11837,88843407,2,2,4,0
1126219,IDgaziA01,2017-01-11 18:10:30,11,18,4274995,687498,84987,74868704,1,2,4,0
4213994,IDuJmEFbM,2017-01-16 12:49:43,16,12,9178338,867225,6906,99510044,1,3,2,0
2350388,IDEN8sDNC,2017-01-12 12:14:45,12,12,9348873,406978,904,58604466,2,2,4,0
9721697,IDj5Mpdrb,2017-01-18 15:24:12,18,15,3284154,772599,9764,7181598,6,2,4,0
2685897,IDoS3HdAp,2017-01-18 16:11:51,18,16,,915062,76239,67147700,5,6,3,0
68560,IDJMK1zDS,2017-01-20 10:16:50,20,10,3618381,568041,15124,99558603,2,2,4,0
1585283,IDiFUaP1J,2017-01-14 09:33:06,14,9,,403529,89522,47079934,6,2,4,0
2272135,IDUZ5SlSp,2017-01-20 14:33:08,20,14,1981485,748472,11837,7864011,6,2,4,0
9204108,IDl4lVaur,2017-01-12 18:30:19,12,18,3844166,874536,23576,7122654,2,2,4,0
9156835,ID5J4LGZV,2017-01-13 15:44:54,13,15,4882623,433291,15912,63767331,2,3,2,0
11847259,IDqdGLFDo,2017-01-15 10:47:31,15,10,4847304,89309,45287,20301556,1,3,2,0
2675214,IDTbdrkBg,2017-01-13 14:00:32,13,14,6783300,64823,68947,54526992,2,4,2,0
982106,IDqgB3zhw,2017-01-20 11:00:01,20,11,9703827,747069,8467,30860214,4,5,1,0
11381204,IDXKAp5Cb,2017-01-10 05:05:37,10,5,9299571,788781,73362,86289887,2,3,1,0
5082492,IDR7YJ8Ve,2017-01-17 17:36:50,17,17,1452430,544102,74263,27723861,3,2,4,0
8358238,IDh3fQC99,2017-01-11 19:32:31,11,19,2504452,859006,14960,52437512,1,3,3,0
9266237,IDBmOKxhj,2017-01-14 06:35:51,14,6,5008530,480824,33638,33505809,5,3,1,0
2401296,IDqlheg6i,2017-01-16 17:39:56,16,17,6777768,64088,45620,31388981,5,3,3,0
11102226,IDRaQHpjQ,2017-01-14 09:20:12,14,9,5388314,606746,40339,25497095,2,1,2,0
7686314,IDdTcnnJ9,2017-01-13 17:30:07,13,17,4659663,769099,6906,99510044,2,3,2,0
2136882,ID3G6WKPB,2017-01-12 17:07:48,12,17,,965275,23576,17990842,6,3,1,0
2899005,IDGZMVodE,2017-01-13 10:26:09,13,10,,9005,42227,1436904,2,2,4,0
74377,IDTS3GTEp,2017-01-14 10:15:02,14,10,361957,369601,65251,57977218,4,2,4,0
15880,IDzJsdQzt,2017-01-17 09:54:25,17,9,8977002,51410,835,58604466,6,4,2,0
1297903,IDuegO4aB,2017-01-20 14:47:36,20,14,,250176,54916,43526789,6,3,1,0
11516801,IDpLY0vue,2017-01-14 11:45:48,14,11,5024142,973500,46365,74363610,2,7,2,0
2692003,ID2LAnxBG,2017-01-15 11:46:00,15,11,9539423,679470,95113,65017662,5,3,1,0
9328263,IDpgHmVG1,2017-01-14 11:14:35,14,11,4199344,545121,41706,4000296,6,2,4,0
8612316,IDFKDq9IW,2017-01-14 10:58:40,14,10,8103877,194892,904,20301556,2,3,3,0
7107005,IDCE2tq01,2017-01-13 16:22:09,13,16,7955456,187083,61208,91553313,2,3,1,0
9492946,IDpDLVgos,2017-01-11 12:32:06,11,12,4279094,598384,77521,82291592,1,1,1,0
9348565,ID7ZbXyGw,2017-01-17 15:32:47,17,15,7069675,788571,12211,84522677,2,3,2,0
8081053,IDi8opt2v,2017-01-16 15:02:27,16,15,7814921,818837,12211,27723861,1,3,2,0
6325179,IDtaO7HJ6,2017-01-14 12:02:30,14,12,428449,769222,26966,48615529,5,2,4,0
3261781,IDgyoUsbY,2017-01-13 10:10:09,13,10,1568003,94729,22023,23588197,1,3,2,0
8597483,IDI22Uc3F,2017-01-18 11:13:33,18,11,,479469,33033,87807327,4,2,4,0
11861415,IDXtsMAcM,2017-01-16 12:02:25,16,12,8582239,37866,42227,49384126,2,3,2,0
9719905,IDYMEX7Ep,2017-01-16 09:54:33,16,9,,277876,54916,6171136,2,2,3,0
12021197,IDqfJdzyM,2017-01-11 11:46:03,11,11,732011,794582,44388,2050923,2,5,1,0
10483113,IDYqTClGj,2017-01-20 10:07:00,20,10,4368894,434866,17714,54794527,1,2,4,0
4439303,IDaxVNVq1,2017-01-16 11:08:52,16,11,8330223,867952,24888,81758577,1,3,1,0
6294255,IDvXT1IC4,2017-01-18 14:41:37,18,14,4788605,670812,46450,47079934,1,4,2,0
9029789,IDXEkNZP7,2017-01-16 17:20:05,16,17,8714310,422997,14960,52437512,5,3,1,0
483136,IDzjRwPN3,2017-01-18 14:31:55,18,14,8658303,279985,42227,15961717,4,2,4,0
7361505,IDbJVHy3f,2017-01-16 17:13:29,16,17,2686046,360662,6906,99510044,2,4,1,0
8199696,IDDytDRiU,2017-01-20 12:22:51,20,12,1114929,453873,41706,16943535,2,2,4,0
3420485,IDdgOyXoV,2017-01-10 17:14:16,10,17,1987432,456744,6906,99510044,2,3,1,0
1132429,IDNEpElfZ,2017-01-18 16:07:29,18,16,9882973,998857,61208,27723861,1,3,1,0
6647860,IDtV92zb8,2017-01-14 11:29:19,14,11,3452065,374406,6906,99510044,1,3,1,0
10974120,IDZp6T0yn,2017-01-14 11:41:32,14,11,250705,148368,92902,555603,1,1,1,1
10191471,ID6Mf8vxD,2017-01-16 08:33:10,16,8,9800939,228990,23576,45446370,2,3,2,0
12055020,IDeXDMsyu,2017-01-20 12:55:59,20,12,608386,528286,21380,80720921,5,3,2,0
7814449,IDu3phWJ3,2017-01-15 12:11:34,15,12,4332531,83512,12052,17581428,4,4,2,1
3061421,IDhvDSU4e,2017-01-16 14:32:19,16,14,,820081,96313,31261303,2,3,1,0
